Kod;Namn;Befolkning;Int_befolkning
"0127";Botkyrka                                          ;"95318";"95318"
"0162";Danderyd                                          ;"32803";"32803"
"0125";Ekerö                                             ;"29096";"29096"
"0136";Haninge                                           ;"95658";"95658"
"0126";Huddinge                                          ;"113951";"113951"
"0123";Järfälla                                          ;"83170";"83170"
"0186";Lidingö                                           ;"48162";"48162"
"0182";Nacka                                             ;"108234";"108234"
"0188";Norrtälje                                         ;"64762";"64762"
"0140";Nykvarn                                           ;"11500";"11500"
"0192";Nynäshamn                                         ;"29495";"29495"
"0128";Salem                                             ;"17252";"17252"
"0191";Sigtuna                                           ;"50273";"50273"
"0163";Sollentuna                                        ;"75108";"75108"
"0184";Solna                                             ;"84187";"84187"
"0180";Stockholm                                         ;"978770";"978770"
"0183";Sundbyberg                                        ;"53564";"53564"
"0181";Södertälje                                        ;"101209";"101209"
"0138";Tyresö                                            ;"49062";"49062"
"0160";Täby                                              ;"73955";"73955"
"0114";Upplands Väsby                                    ;"47820";"47820"
"0139";Upplands-Bro                                      ;"31082";"31082"
"0115";Vallentuna                                        ;"34246";"34246"
"0187";Vaxholm                                           ;"11996";"11996"
"0120";Värmdö                                            ;"46232";"46232"
"0117";Österåker                                         ;"48234";"48234"
"0381";Enköping                                          ;"47489";"47489"
"0331";Heby                                              ;"14303";"14303"
"0305";Håbo                                              ;"22344";"22344"
"0330";Knivsta                                           ;"19818";"19818"
"0360";Tierp                                             ;"21485";"21485"
"0380";Uppsala                                           ;"237596";"237596"
"0319";Älvkarleby                                        ;"9627";"9627"
"0382";Östhammar                                         ;"22364";"22364"
"0484";Eskilstuna                                        ;"107593";"107593"
"0482";Flen                                              ;"16316";"16316"
"0461";Gnesta                                            ;"11513";"11513"
"0483";Katrineholm                                       ;"34764";"34764"
"0480";Nyköping                                          ;"57633";"57633"
"0481";Oxelösund                                         ;"12132";"12132"
"0486";Strängnäs                                         ;"38129";"38129"
"0488";Trosa                                             ;"14658";"14658"
"0428";Vingåker                                          ;"9063";"9063"
"0560";Boxholm                                           ;"5512";"5512"
"0562";Finspång                                          ;"21889";"21889"
"0513";Kinda                                             ;"10048";"10048"
"0580";Linköping                                         ;"165527";"165527"
"0586";Mjölby                                            ;"28269";"28269"
"0583";Motala                                            ;"43674";"43674"
"0581";Norrköping                                        ;"144458";"144458"
"0582";Söderköping                                       ;"14673";"14673"
"0584";Vadstena                                          ;"7528";"7528"
"0563";Valdemarsvik                                      ;"7660";"7660"
"0512";Ydre                                              ;"3695";"3695"
"0561";Åtvidaberg                                        ;"11462";"11462"
"0509";Ödeshög                                           ;"5309";"5309"
"0604";Aneby                                             ;"6892";"6892"
"0686";Eksjö                                             ;"17834";"17834"
"0662";Gislaved                                          ;"29556";"29556"
"0617";Gnosjö                                            ;"9570";"9570"
"0643";Habo                                              ;"12810";"12810"
"0680";Jönköping                                         ;"143579";"143579"
"0642";Mullsjö                                           ;"7430";"7430"
"0682";Nässjö                                            ;"31782";"31782"
"0684";Sävsjö                                            ;"11709";"11709"
"0687";Tranås                                            ;"18874";"18874"
"0665";Vaggeryd                                          ;"14746";"14746"
"0685";Vetlanda                                          ;"27621";"27621"
"0683";Värnamo                                           ;"34661";"34661"
"0764";Alvesta                                           ;"20287";"20287"
"0761";Lessebo                                           ;"8574";"8574"
"0781";Ljungby                                           ;"28433";"28433"
"0767";Markaryd                                          ;"10320";"10320"
"0763";Tingsryd                                          ;"12319";"12319"
"0760";Uppvidinge                                        ;"9449";"9449"
"0780";Växjö                                             ;"95995";"95995"
"0765";Älmhult                                           ;"17963";"17963"
"0885";Borgholm                                          ;"10895";"10895"
"0862";Emmaboda                                          ;"9329";"9329"
"0860";Hultsfred                                         ;"14056";"14056"
"0821";Högsby                                            ;"5645";"5645"
"0880";Kalmar                                            ;"71328";"71328"
"0861";Mönsterås                                         ;"13258";"13258"
"0840";Mörbylånga                                        ;"15722";"15722"
"0881";Nybro                                             ;"20284";"20284"
"0882";Oskarshamn                                        ;"27220";"27220"
"0834";Torsås                                            ;"7113";"7113"
"0884";Vimmerby                                          ;"15578";"15578"
"0883";Västervik                                         ;"36747";"36747"
"0980";Gotland                                           ;"61001";"61001"
"1082";Karlshamn                                         ;"32226";"32226"
"1080";Karlskrona                                        ;"66708";"66708"
"1060";Olofström                                         ;"13263";"13263"
"1081";Ronneby                                           ;"29200";"29200"
"1083";Sölvesborg                                        ;"17540";"17540"
"1260";Bjuv                                              ;"15842";"15842"
"1272";Bromölla                                          ;"12650";"12650"
"1231";Burlöv                                            ;"19753";"19753"
"1278";Båstad                                            ;"15636";"15636"
"1285";Eslöv                                             ;"34593";"34593"
"1283";Helsingborg                                       ;"150109";"150109"
"1293";Hässleholm                                        ;"52309";"52309"
"1284";Höganäs                                           ;"27589";"27589"
"1266";Hörby                                             ;"15745";"15745"
"1267";Höör                                              ;"16954";"16954"
"1276";Klippan                                           ;"17783";"17783"
"1290";Kristianstad                                      ;"86641";"86641"
