Kommunkod;Skattesats;skatt
"0114";"31,50";31.500
"0115";"30,98";30.980
"0117";"28,98";28.980
"0120";"31,06";31.060
"0123";"31,07";31.070
"0125";"31,03";31.030
"0126";"31,55";31.550
"0127";"32,23";32.230
"0128";"31,50";31.500
"0136";"31,76";31.760
"0138";"31,58";31.580
"0139";"31,48";31.480
"0140";"32,05";32.050
"0160";"29,63";29.630
"0162";"30,43";30.430
"0163";"30,20";30.200
"0180";"29,82";29.820
"0181";"32,23";32.230
"0182";"30,06";30.060
"0183";"30,98";30.980
"0184";"29,45";29.450
"0186";"29,92";29.920
"0187";"31,38";31.380
"0188";"31,80";31.800
"0191";"32,08";32.080
"0192";"31,93";31.930
"0305";"32,80";32.800
"0319";"34,40";34.400
"0330";"32,62";32.620
"0331";"34,21";34.210
"0360";"33,00";33.000
"0380";"32,85";32.850
"0381";"33,05";33.050
"0382";"33,40";33.400
"0428";"33,50";33.500
"0461";"32,95";32.950
"0480";"32,25";32.250
"0481";"33,05";33.050
"0482";"33,10";33.100
"0483";"32,95";32.950
"0484";"32,85";32.850
"0486";"32,50";32.500
"0488";"32,33";32.330
"0509";"34,15";34.150
"0512";"34,10";34.100
"0513";"33,00";33.000
"0560";"33,37";33.370
"0561";"33,94";33.940
"0562";"33,70";33.700
"0563";"34,03";34.030
"0580";"31,75";31.750
"0581";"33,30";33.300
"0582";"32,73";32.730
"0583";"33,25";33.250
"0584";"34,35";34.350
"0586";"33,45";33.450
"0604";"33,85";33.850
"0617";"34,00";34.000
"0642";"34,10";34.100
"0643";"33,93";33.930
"0662";"33,75";33.750
"0665";"33,25";33.250
"0680";"33,40";33.400
"0682";"34,30";34.300
"0683";"33,28";33.280
"0684";"33,68";33.680
"0685";"33,77";33.770
"0686";"34,02";34.020
"0687";"33,77";33.770
"0760";"33,80";33.800
"0761";"33,81";33.810
"0763";"34,00";34.000
"0764";"33,42";33.420
"0765";"33,86";33.860
"0767";"33,31";33.310
"0780";"32,19";32.190
"0781";"33,07";33.070
"0821";"34,07";34.070
"0834";"33,29";33.290
"0840";"34,07";34.070
"0860";"33,77";33.770
"0861";"34,07";34.070
"0862";"33,82";33.820
"0880";"33,67";33.670
"0881";"34,19";34.190
"0882";"34,21";34.210
"0883";"33,02";33.020
"0884";"34,22";34.220
"0885";"33,44";33.440
"0980";"33,60";33.600
"1060";"33,75";33.750
"1080";"33,69";33.690
"1081";"33,85";33.850
"1082";"34,37";34.370
"1083";"33,86";33.860
"1214";"31,92";31.920
"1230";"30,27";30.270
"1231";"31,27";31.270
"1233";"29,68";29.680
"1256";"32,17";32.170
"1257";"30,24";30.240
"1260";"32,17";32.170
"1261";"29,69";29.690
"1262";"30,82";30.820
"1263";"31,42";31.420
"1264";"31,60";31.600
"1265";"32,10";32.100
"1266";"32,26";32.260
"1267";"32,93";32.930
"1270";"31,79";31.790
"1272";"33,74";33.740
"1273";"33,44";33.440
"1275";"31,99";31.990
"1276";"31,93";31.930
"1277";"31,47";31.470
"1278";"31,41";31.410
"1280";"32,42";32.420
"1281";"32,42";32.420
"1282";"31,42";31.420
"1283";"31,39";31.390
"1284";"30,91";30.910
"1285";"31,72";31.720
"1286";"31,29";31.290
"1287";"31,58";31.580
"1290";"32,64";32.640
"1291";"31,69";31.690
"1292";"31,47";31.470
